TIME_PERIOD,UA_Actual,PDM_Angles,PDM_Distance,Granger,Lagged_Correlation,Multivariate_Regression,Transfer_Entropy,Linear_Pooling,Median_Pooling
2014-07-01,12.456899155725388,0.3,0.3,0.2820006770740297,0.29501910827496175,0.34581188521652817,0.18915921798628424,0.2999999999999998,0.4
2014-08-01,14.155643855962975,0.560875938619039,0.5608260325406758,0.3837729091676495,0.40184007011986406,0.43695706784082733,0.29549994411523856,0.40909090909090906,0.4
2014-09-01,17.46615752778591,-0.06666666666666665,-0.06666666666666665,0.29801830204036306,0.3242235615164851,0.3808582811518645,0.21639543077115259,0.3272727272727273,0.3
2014-10-01,19.806120825152142,0.2909090909090909,0.2909090909090909,0.26708511148963787,0.29384957244060594,0.35790960090102425,0.19372648802249673,0.29090909090909095,0.4
2014-11-01,21.838759601626755,0.1,0.1,0.24672252032605702,0.25432959600894234,0.3063278118636269,0.1517977071201636,0.2545454545454546,0.3
2014-12-01,24.869574517090154,-0.3322342166223555,-0.3321026282853567,-0.2988009089055526,-0.2764866852054991,-0.20529700221657865,-0.3784005454326246,-0.2818181818181818,-0.1
2015-01-01,28.48356419872249,-1.6130783798792785,-1.6109227871939737,-0.6966939416867819,-0.6684892374296456,-0.6111223712438525,-0.7604551162153478,-0.6727272727272726,-0.5
2015-02-01,34.4862754485634,-0.10420145409016002,-0.10457142857142859,-0.4208841757577149,-0.40380711954386267,-0.3661080374200643,-0.47373080903585946,-0.4090909090909091,-0.3
2015-03-01,45.80312445891215,0.0,0.0,-0.17603058590369786,-0.14659008016682049,-0.10234325450143353,-0.19890555303851032,-0.15454545454545454,0.0
2015-04-01,60.90567462067749,0.3282113410993903,0.32783725910064243,-0.04298869510441508,0.002359497199131054,0.04302808995470818,-0.0503401306198108,-0.009090909090909101,0.0
2015-05-01,58.42543300802732,0.6825712052611791,0.6820622070728589,0.33154648830328537,0.3949030368891421,0.4186496939179991,0.3250506579101293,0.3818181818181818,0.3
2015-06-01,57.48429182184107,0.2,0.2,0.3454508129736367,0.3907190456112439,0.4076785667278187,0.3401998345443942,0.38181818181818183,0.4
2015-07-01,55.288295720739676,0.9,0.9,0.347041390792178,0.3940463305003648,0.40491015926675145,0.32095998791704194,0.3818181818181817,0.4
2015-08-01,52.82340213787082,0.2,0.2,0.28638613423521525,0.32439875991989414,0.32077268917779966,0.26215721439355794,0.31818181818181823,0.3
2015-09-01,51.93230358313097,0.1,0.1,0.07375342286449282,0.10935109180354301,0.10681219416061406,0.056324014979868144,0.09999999999999999,0.2
2015-10-01,46.44256214506859,0.5160812119232837,0.5160409556313994,0.2774861851405837,0.3063518655313112,0.3010024902136127,0.2519278107472159,0.29999999999999993,0.3
2015-11-01,46.58627417857706,-0.1,-0.1,0.24353234191083972,0.2291666015007937,0.21689925225796683,0.19131257743653557,0.22727272727272727,0.1
2015-12-01,43.31298844449232,0.9999999999999998,0.9999999999999998,0.41037002420621715,0.38825456767347716,0.3699992958194113,0.3464415514391983,0.39090909090909093,0.3
2016-01-01,40.254903337044404,0.4272727272727273,0.4272727272727273,0.45000826670302135,0.4283744574930132,0.42765276519990414,0.38162575135535226,0.42727272727272725,0.3
2016-02-01,32.6627575723611,0.0341107515827887,0.0341503647577435,0.11414244076380559,0.08550852637503983,0.07127427551204399,-0.0050067258136247406,0.09090909090909091,-0.1
2016-03-01,20.929047967585525,-0.4333333333333333,-0.4333333333333333,0.10386403920086593,0.07411270567273223,0.07427707217716983,-0.018470121572427264,0.07272727272727272,0.0
2016-04-01,9.790846181097358,-0.1,-0.1,0.031655039597874385,0.0038285303987418903,0.011097865738475418,-0.06617035608840359,0.009090909090909101,-0.2
2016-05-01,7.534869889704909,0.44999999999999996,0.44999999999999996,0.10350258030561843,0.0770963992788098,0.08831892013271411,0.024266772974395275,0.08181818181818179,-0.1
2016-06-01,6.8922312250254025,0.44999999999999996,0.44999999999999996,0.26783303065144065,0.24979248472825216,0.25570475951904137,0.22208505723563246,0.2545454545454545,0.2
2016-07-01,7.8639787816165985,0.6499999999999999,0.6499999999999999,0.30945397040435074,0.2959204201233998,0.31572887479463274,0.30134168696612185,0.3,0.3
