date,PDM_angles,PDM_distance,Granger,Lagged_correlation,Multivariate_regression,Transfer_entropy,Linear_pooling,Median_pooling
2009-09-01,-0.9,-0.9,-0.3519038378521915,-0.4876912016859466,-0.4498454082116262,-0.5426534018780188,-0.4818181818181818,-0.4
2009-10-01,0.2250771208161129,0.225,-0.2063562124625401,-0.33977441764532756,-0.3198503552141203,-0.37152575472127203,-0.3363636363636363,-0.1
2009-11-01,0.6167114648057181,0.6154168051121287,0.45856639211292066,0.28844966550763707,0.315966733012192,0.31732681165149157,0.2909090909090909,0.5
2009-12-01,1.23836005321253,1.2377777777777779,0.8586940670116499,0.6901292302264326,0.7338186975095777,0.7609133786846278,0.6909090909090909,0.9
2010-01-01,0.7090909090909091,0.7090909090909091,0.8821027939704383,0.7094170879866816,0.7593837578027602,0.8005731829117292,0.7090909090909091,0.8
2010-02-01,0.4,0.4,0.8397931079004674,0.6602149514415205,0.699482187511103,0.7751983510859005,0.6636363636363637,0.8
2010-03-01,1.5360742846057338,1.536192287956346,1.5746747685082865,1.3647135028141184,1.388896775593419,1.5692017806724752,1.3636363636363635,1.5
2010-04-01,1.8000000000000003,1.8,1.7139304765808412,1.4786965512140589,1.492711130960687,1.6907017728785183,1.481818181818182,1.8
2010-05-01,1.9989555595922832,1.9989323843416367,1.8073146365923025,1.5949392348334261,1.593089829825791,1.8384344758711328,1.5999999999999999,1.5
2010-06-01,0.5704383900455239,0.5703703703703711,1.7060162706880977,1.4837489689426318,1.4775496497320004,1.707649398623511,1.4909090909090907,1.4
2010-07-01,1.925530371353045,1.9253220140515221,1.9655876935991958,1.7754088115383408,1.741381484394239,1.9391273879051227,1.7818181818181817,1.8
2010-08-01,0.050000000000000044,0.050000000000000044,1.8938732670319491,1.7005549698562223,1.6545858285758877,1.847513267719501,1.7090909090909092,1.6
2010-09-01,3.5372814059157527,3.541666666666665,2.140619251534873,1.9390680575170767,1.8934486756890996,2.133461430351605,1.9454545454545453,1.7
2010-10-01,2.118181818181818,2.118181818181818,2.303943312661648,2.1097798140682933,2.0843606705018694,2.2448389469115395,2.118181818181818,2.0
2010-11-01,1.6,1.6,2.1851852593317385,2.003094191371368,1.9899087197224954,2.133916835374378,2.009090909090909,1.8
2010-12-01,2.4,2.4,2.565109247915663,2.391750601984954,2.3680062934534702,2.5074015153980684,2.4000000000000004,2.2
2011-01-01,3.25,3.25,2.763691734235928,2.6119655765210843,2.5884335847439295,2.720679611388209,2.618181818181818,2.5
2011-02-01,3.5,3.4999999999999996,2.879603903386826,2.758203343445684,2.7415295272892646,2.809641232889982,2.763636363636364,3.2
2011-03-01,3.3897989676556377,3.3897009966777407,3.0180634143021807,2.9057003844868445,2.897836702859228,2.9908729808761647,2.9090909090909087,3.3
2011-04-01,2.9818181818181815,2.9818181818181815,3.0679981279587083,2.982195714183227,2.976481939676724,3.039052146711027,2.981818181818182,3.1
2011-05-01,2.2,2.2,2.9536714704310794,2.8570900383770814,2.86330983387863,2.8918349869493287,2.854545454545454,3.0
2011-06-01,2.3,2.3,2.915586104074361,2.8092600360113464,2.8194954026094177,2.8239829369680667,2.8090909090909086,3.0
2011-07-01,2.781818181818182,2.781818181818182,2.8818622540996732,2.7814812866960352,2.7958471060599233,2.703404417670037,2.781818181818182,3.0
2011-08-01,1.5707308817419476,1.5714285714285716,2.716731731273009,2.6308177668079975,2.6680424713088535,2.557073440533767,2.627272727272727,2.7
2011-09-01,3.3429293324730867,3.3423216677671923,3.120573406461089,3.0314110576206046,3.034067353965966,2.9961430436727587,3.0272727272727273,3.0
2011-10-01,3.45,3.45,3.127630938120569,3.05200155565589,3.051884957869867,3.0518654555898665,3.0454545454545454,3.0
2011-11-01,3.75,3.75,3.123165338474591,3.0506041908696195,3.0593848541465047,3.0592599785621584,3.045454545454545,2.9
2011-12-01,2.357164760590529,2.356840869054609,2.791947458524951,2.7168651952878644,2.7310796707337244,2.7259518535270844,2.709090909090909,2.6
2012-01-01,2.645454545454545,2.645454545454545,2.7285597669217365,2.652440581912324,2.6710358009654525,2.6235872480984073,2.6454545454545455,2.9
2012-02-01,2.645454545454545,2.645454545454545,2.702423610905094,2.655239730513273,2.6726318261196447,2.615341905030579,2.6454545454545455,2.6
2012-03-01,2.6,2.6,2.6314565251375823,2.6080990822481445,2.626566379431511,2.5436560238586634,2.6,2.6
2012-04-01,2.4999999999999996,2.4999999999999996,2.5477520142400674,2.5077862594380402,2.524875550714429,2.4596775047877735,2.5,2.4
2012-05-01,2.0324794873644008,2.0326315789473686,2.3729088622884067,2.345078263253863,2.3786121139207768,2.29436181571732,2.3363636363636364,2.3
2012-06-01,2.1,2.1,2.3117547256120075,2.281225779815856,2.3101968428203405,2.2340127709206428,2.272727272727273,2.2
2012-07-01,2.309090909090909,2.309090909090909,2.3406500724295234,2.317646006203501,2.3450260754248067,2.2715518520680926,2.309090909090909,2.2
2012-08-01,3.0083999716592045,3.0096209912536445,2.590576527799117,2.5893169344959874,2.6150579749350276,2.560963784908898,2.5818181818181816,2.6
2012-09-01,2.5727272727272728,2.5727272727272728,2.591754697919244,2.5833882154707704,2.621026211824168,2.556096845541134,2.572727272727273,2.6
2012-10-01,2.5363636363636366,2.5363636363636366,2.585874288532987,2.540199796591736,2.562044908818216,2.4569806616041654,2.536363636363636,2.7
2012-11-01,1.9,1.9,2.2708322568592374,2.22335425797886,2.241736821370859,2.102639941494862,2.2181818181818183,2.2
2012-12-01,2.833333333333333,2.833333333333333,2.319972594582646,2.28729757245976,2.3024490398851913,2.1420072037668927,2.2818181818181817,2.1
2013-01-01,1.2512152183778322,1.251860348010966,1.8876186991769883,1.867682536397163,1.8845847662554638,1.7104383729493418,1.8636363636363635,1.9
2013-02-01,0.9755398457127903,0.9749999999999998,1.7684474511819932,1.7397776462551189,1.7489677040746905,1.5899894435131454,1.7363636363636366,1.8
2013-03-01,1.6363636363636365,1.6363636363636365,1.681842214240487,1.6436798200726332,1.6638964365788567,1.4992557569659308,1.6363636363636367,1.8
2013-04-01,0.5090188238811271,0.5111527036362308,1.2635745350451966,1.219061121685164,1.2434523533669393,1.0336404082583215,1.218181818181818,1.2
2013-05-01,2.5,2.5,1.4683074072371052,1.4211558385985876,1.4419452429612354,1.2440513610960455,1.4181818181818182,1.2
2013-06-01,2.7568097382733914,2.7573770491803278,1.6087560188280736,1.5886082935931707,1.6005202015618403,1.4398621983665456,1.5818181818181822,1.6
2013-07-01,1.2,1.2,1.5354982251319569,1.523733602882942,1.554276348863813,1.3637600914077732,1.5181818181818185,1.6
2013-08-01,1.0547319689371053,1.0546666666666669,1.1770446611699126,1.1433709304375392,1.18481967216159,0.9878325800242603,1.1363636363636362,1.1
2013-09-01,0.1722032552629441,0.17225117667317183,0.9510607655386173,0.9332165311523618,0.978998676452487,0.7703122228975291,0.9272727272727271,1.0
2013-10-01,-0.05840926461245342,-0.05841944125526216,0.5310321719186601,0.5343490267123032,0.6057448181907613,0.39222576248970237,0.5272727272727272,0.7
2013-11-01,1.5,1.5,0.5314087150798495,0.5759763954816212,0.6683227871684106,0.43809488765822635,0.5636363636363637,0.8
2013-12-01,1.2297472540286554,1.2304347826086959,0.7399144827649267,0.7405282582166038,0.8083486561009077,0.5874479589219915,0.7363636363636362,0.8
2014-01-01,0.39999999999999997,0.39999999999999997,0.6453706342301335,0.6482799429804861,0.7189840862093345,0.5476214840555961,0.6454545454545455,0.8
2014-02-01,0.5454545454545454,0.5454545454545454,0.5516825996560216,0.5463546406009907,0.6257856468057595,0.496502607706076,0.5454545454545455,0.4
2014-03-01,0.24940246911728228,0.24938650306748467,0.32117641663811314,0.3279959141864971,0.40583573107999693,0.2544427684331685,0.32727272727272727,0.3
2014-04-01,1.0799141077539087,1.0801886792452828,0.4962150075189976,0.514296327629185,0.5836750723440535,0.43350498589947484,0.5090909090909093,0.6
2014-05-01,0.1405054735975475,0.1409908735332464,0.29010904108322216,0.3147690895512436,0.3947472406629034,0.25786257598132767,0.3090909090909091,0.4
2014-06-01,0.3909090909090908,0.3909090909090908,0.36521565388906047,0.3927411482232679,0.45372666228132635,0.30112800599924855,0.39090909090909093,0.5
2014-07-01,0.3,0.3,0.2820006770740279,0.29501910827496175,0.3458118852165281,0.18915921798628424,0.30000000000000004,0.4
2014-08-01,0.560875938619039,0.5608260325406756,0.38377290916764784,0.401840070119864,0.4369570678408272,0.29549994411523856,0.4090909090909091,0.4
2014-09-01,-0.06666666666666665,-0.06666666666666665,0.29801830204036084,0.32422356151648507,0.38085828115186443,0.21639543077115259,0.3272727272727273,0.3
2014-10-01,0.2909090909090909,0.2909090909090909,0.2670851114896361,0.2938495724406057,0.3579096009010242,0.19372648802249673,0.29090909090909095,0.4
2014-11-01,0.1,0.1,0.2467225203260559,0.2543295960089423,0.30632781186362684,0.1517977071201636,0.2545454545454546,0.3
2014-12-01,-0.3322342166223555,-0.3321026282853567,-0.29880090890555416,-0.2764866852054992,-0.20529700221657854,-0.3784005454326246,-0.28181818181818186,-0.1
2015-01-01,-1.6130783798792785,-1.6109227871939737,-0.6966939416867828,-0.6684892374296457,-0.6111223712438524,-0.7604551162153478,-0.6727272727272726,-0.5
2015-02-01,-0.10420145409016002,-0.1045714285714286,-0.4208841757577157,-0.40380711954386267,-0.3661080374200641,-0.47373080903585946,-0.4090909090909091,-0.3
2015-03-01,0.0,0.0,-0.1760305859036998,-0.14659008016682054,-0.10234325450143344,-0.19890555303851032,-0.15454545454545457,0.0
2015-04-01,0.3282113410993903,0.32783725910064243,-0.04298869510441942,0.0023594971991309707,0.04302808995470814,-0.0503401306198108,-0.009090909090909066,0.0
2015-05-01,0.6825712052611791,0.6820622070728589,0.33154648830328004,0.394903036889142,0.41864969391799906,0.3250506579101293,0.38181818181818183,0.3
2015-06-01,0.2,0.2,0.34545081297363356,0.3907190456112439,0.40767856672781855,0.3401998345443942,0.38181818181818183,0.4
2015-07-01,0.9,0.9,0.3470413907921739,0.39404633050036475,0.4049101592667513,0.32095998791704194,0.38181818181818183,0.4
2015-08-01,0.2,0.2,0.28638613423521186,0.3243987599198941,0.3207726891777995,0.26215721439355794,0.31818181818181823,0.3
2015-09-01,0.1,0.1,0.07375342286448977,0.10935109180354298,0.106812194160614,0.056324014979868144,0.1,0.2
2015-10-01,0.5160812119232837,0.5160409556313993,0.2774861851405798,0.3063518655313111,0.3010024902136126,0.2519278107472159,0.3,0.3
2015-11-01,-0.1,-0.1,0.24353234191083994,0.22916660150079365,0.2168992522579668,0.19131257743653557,0.22727272727272727,0.1
2015-12-01,0.9999999999999998,0.9999999999999998,0.41037002420621793,0.3882545676734771,0.36999929581941116,0.3464415514391983,0.39090909090909093,0.3
2016-01-01,0.4272727272727273,0.4272727272727273,0.4500082667030214,0.42837445749301317,0.427652765199904,0.38162575135535226,0.42727272727272725,0.3
2016-02-01,0.03411075158278869,0.03415036475774352,0.11414244076380643,0.08550852637503983,0.07127427551204396,-0.0050067258136247406,0.0909090909090909,-0.1
2016-03-01,-0.4333333333333333,-0.4333333333333333,0.10386403920086595,0.07411270567273216,0.07427707217716982,-0.018470121572427264,0.07272727272727275,0.0
2016-04-01,-0.1,-0.1,0.031655039597875724,0.0038285303987418695,0.01109786573847539,-0.06617035608840359,0.009090909090909045,-0.2
